transactions_id,sale_date,sale_time,customer_id,gender,category,quantiy,price_per_unit,total_sale
180,05-11-2022,10:47:00,117,Male,Clothing,3,300,900
522,09-07-2022,11:00:00,52,Male,Beauty,3,500,1500
559,12-12-2022,10:48:00,5,Female,Clothing,4,300,1200
1180,06-01-2022,8:53:00,85,Male,Clothing,3,300,900
1522,14-11-2022,8:35:00,48,Male,Beauty,3,500,1500
1559,20-08-2022,7:40:00,49,Female,Clothing,4,300,1200
163,31-10-2022,9:38:00,144,Female,Clothing,3,50,150
303,22-04-2022,11:09:00,54,Male,Electronics,3,30,90
421,08-04-2022,8:43:00,66,Female,Clothing,3,500,1500
979,18-05-2022,10:18:00,6,Female,Beauty,1,25,25
1163,04-05-2022,10:52:00,120,Female,Clothing,3,50,150
1303,19-03-2022,8:59:00,58,Male,Electronics,3,30,90
1421,17-01-2022,7:07:00,59,Female,Clothing,3,500,1500
1979,17-08-2022,11:34:00,102,Female,Beauty,1,25,25
610,18-12-2022,6:56:00,137,Female,Beauty,2,300,600
1610,23-11-2022,10:18:00,1,Female,Beauty,2,300,600
32,16-07-2022,9:11:00,150,Male,Beauty,3,30,90
231,09-07-2022,7:02:00,50,Female,Clothing,3,50,150
683,06-03-2022,10:22:00,82,Male,Beauty,2,500,1000
1032,01-04-2022,8:15:00,1,Male,Beauty,3,30,90
1231,29-01-2022,7:05:00,12,Female,Clothing,3,50,150
1683,04-05-2022,7:19:00,98,Male,Beauty,2,500,1000
367,30-12-2022,7:03:00,123,Female,Electronics,1,50,50
391,25-03-2022,7:37:00,68,Male,Beauty,2,25,50
432,10-03-2022,11:31:00,17,Female,Electronics,2,500,1000
1367,15-04-2022,11:38:00,16,Female,Electronics,1,50,50
1391,01-03-2022,11:29:00,130,Male,Beauty,2,25,50
1432,25-12-2022,6:24:00,67,Female,Electronics,2,500,1000
150,13-04-2022,8:25:00,89,Female,Electronics,4,30,120
845,27-10-2022,10:12:00,25,Male,Clothing,1,500,500
1150,22-08-2022,10:04:00,77,Female,Electronics,4,30,120
1845,24-05-2022,7:06:00,94,Male,Clothing,1,500,500
797,16-09-2022,6:38:00,116,Male,Clothing,3,25,75
921,28-09-2022,9:34:00,101,Male,Electronics,3,25,75
1797,16-04-2022,11:47:00,147,Male,Clothing,3,25,75
1921,08-02-2022,7:01:00,77,Male,Electronics,3,25,75
291,22-11-2022,8:29:00,15,Male,Clothing,2,300,600
907,02-09-2022,6:16:00,145,Female,Electronics,1,25,25
1291,04-04-2022,11:19:00,72,Male,Clothing,2,300,600
1907,17-11-2022,11:21:00,115,Female,Electronics,1,25,25
860,11-04-2022,8:58:00,85,Male,Clothing,4,50,200
1860,12-03-2022,11:21:00,57,Male,Clothing,4,50,200
184,13-02-2022,6:44:00,128,Male,Electronics,4,50,200
734,12-03-2022,8:54:00,77,Female,Clothing,1,30,30
1184,12-02-2022,8:28:00,23,Male,Electronics,4,50,200
1734,28-02-2022,8:58:00,72,Female,Clothing,1,30,30
225,05-03-2022,7:37:00,85,Female,Beauty,4,25,100
679,26-08-2022,8:59:00,64,Female,Beauty,,,
746,05-07-2022,11:33:00,42,Female,Clothing,,,
1225,02-02-2022,9:51:00,137,Female,Beauty,,,
1679,23-09-2022,8:08:00,71,Female,Beauty,3,30,90
1746,13-06-2022,7:59:00,88,Female,Clothing,3,30,90
3,14-06-2022,7:08:00,114,Male,Electronics,1,30,30
464,06-03-2022,11:13:00,24,Male,Electronics,2,300,600
484,13-03-2022,7:52:00,135,Female,Clothing,4,300,1200
591,21-03-2022,8:38:00,94,Male,Electronics,4,25,100
1003,26-01-2022,7:59:00,80,Male,Electronics,1,30,30
1464,13-11-2022,10:06:00,80,Male,Electronics,2,300,600
1484,23-11-2022,9:29:00,22,Female,Clothing,4,300,1200
1591,29-09-2022,11:00:00,62,Male,Electronics,4,25,100
21,11-07-2022,7:33:00,59,Female,Beauty,1,500,500
708,06-04-2022,8:38:00,62,Female,Beauty,3,300,900
713,16-04-2022,11:43:00,39,Male,Beauty,3,25,75
768,27-06-2022,6:50:00,58,Female,Beauty,3,25,75
1021,11-06-2022,10:19:00,44,Female,Beauty,1,500,500
1708,08-02-2022,7:47:00,41,Female,Beauty,3,300,900
1713,03-10-2022,10:10:00,90,Male,Beauty,3,25,75
1768,31-07-2022,9:52:00,85,Female,Beauty,3,25,75
499,03-04-2022,10:52:00,15,Male,Beauty,2,30,60
697,25-12-2022,7:52:00,152,Male,Clothing,1,500,500
831,30-11-2022,11:49:00,149,Male,Electronics,4,25,100
1499,23-09-2022,9:46:00,3,Male,Beauty,2,30,60
1697,18-12-2022,8:22:00,54,Male,Clothing,1,500,500
1831,26-03-2022,10:54:00,80,Male,Electronics,4,25,100
15,01-07-2022,11:50:00,75,Female,Electronics,4,500,2000
743,07-08-2022,7:54:00,55,Female,Beauty,4,500,2000
1015,09-03-2022,11:53:00,94,Female,Electronics,4,500,2000
1743,26-10-2022,9:37:00,47,Female,Beauty,4,500,2000
14,18-05-2022,7:11:00,8,Male,Clothing,4,30,120
103,12-11-2022,10:05:00,33,Female,Clothing,1,25,25
238,10-05-2022,11:52:00,20,Female,Beauty,1,500,500
986,01-08-2022,9:35:00,65,Female,Clothing,2,500,1000
1014,04-02-2022,10:26:00,147,Male,Clothing,4,30,120
1103,14-02-2022,7:11:00,61,Female,Clothing,1,25,25
1238,17-09-2022,7:38:00,129,Female,Beauty,1,500,500
1986,14-09-2022,8:28:00,29,Female,Clothing,2,500,1000
438,31-08-2022,10:15:00,88,Female,Clothing,1,30,30
1438,07-01-2022,10:00:00,72,Female,Clothing,1,30,30
475,12-08-2022,10:39:00,78,Male,Clothing,3,25,75
505,17-12-2022,7:25:00,86,Male,Beauty,1,50,50
1475,04-10-2022,7:03:00,132,Male,Clothing,3,25,75
1505,30-10-2022,8:00:00,98,Male,Beauty,1,50,50
344,17-07-2022,9:47:00,69,Female,Beauty,1,30,30
448,19-03-2022,9:36:00,86,Female,Beauty,2,30,60
742,19-03-2022,6:08:00,37,Female,Electronics,4,500,2000
1344,18-12-2022,6:12:00,144,Female,Beauty,1,30,30
1448,16-05-2022,6:28:00,51,Female,Beauty,2,30,60
1742,22-11-2022,8:25:00,18,Female,Electronics,4,500,2000
445,14-04-2022,10:48:00,132,Female,Electronics,1,300,300
787,10-06-2022,10:42:00,25,Male,Electronics,1,25,25
1445,19-04-2022,6:16:00,31,Female,Electronics,1,300,300
1787,30-05-2022,7:42:00,104,Male,Electronics,1,25,25
49,17-09-2022,10:33:00,37,Female,Electronics,2,500,1000
420,02-01-2022,10:53:00,28,Female,Clothing,4,500,2000
519,08-04-2022,10:17:00,52,Female,Electronics,4,30,120
1049,16-05-2022,6:36:00,143,Female,Electronics,2,500,1000
1420,15-04-2022,7:01:00,138,Female,Clothing,4,500,2000
1519,08-01-2022,7:35:00,139,Female,Electronics,4,30,120
64,15-11-2022,6:34:00,7,Male,Clothing,4,25,100
592,26-12-2022,9:15:00,77,Female,Beauty,4,500,2000
912,31-10-2022,6:18:00,122,Male,Beauty,3,50,150
1064,14-04-2022,10:38:00,49,Male,Clothing,4,25,100
1592,16-03-2022,9:08:00,81,Female,Beauty,4,500,2000
1912,27-05-2022,7:40:00,146,Male,Beauty,3,50,150
134,25-08-2022,9:03:00,132,Male,Electronics,1,50,50
1134,05-08-2022,9:04:00,106,Male,Electronics,1,50,50
288,02-05-2022,9:59:00,27,Male,Clothing,4,30,120
323,21-01-2022,8:22:00,97,Female,Beauty,3,300,900
618,13-10-2022,10:22:00,5,Female,Beauty,1,50,50
720,08-04-2022,8:50:00,116,Female,Beauty,3,500,1500
1288,05-04-2022,11:56:00,26,Male,Clothing,4,30,120
1323,15-08-2022,10:49:00,136,Female,Beauty,3,300,900
1618,15-09-2022,6:27:00,118,Female,Beauty,1,50,50
1720,10-10-2022,8:51:00,28,Female,Beauty,3,500,1500
415,05-01-2022,9:59:00,85,Male,Clothing,2,30,60
